Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1604390616676,2020-11-03,08:03:36.676,58420,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390632698,2020-11-03,08:03:52.698,58436,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390634682,2020-11-03,08:03:54.682,58438,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390690694,2020-11-03,08:04:50.694,58494,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390694677,2020-11-03,08:04:54.677,58498,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390721673,2020-11-03,08:05:21.673,58525,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390722673,2020-11-03,08:05:22.673,58526,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390744702,2020-11-03,08:05:44.702,58548,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390746671,2020-11-03,08:05:46.671,58550,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390914687,2020-11-03,08:08:34.687,58718,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390916702,2020-11-03,08:08:36.702,58720,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
